kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
8381204,K02145.01,Kepler-1119 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,8.32651854,4.605e-05,-4.605e-05,135.58655,0.00464,-0.00464,0.782,0.118,-0.584,5.483,0.113,-0.113,267.9,11.1,-11.1,1.8,0.59,-0.2,938.0,182.69,182.74,-57.03,27.2,1.0,q1_q17_dr25_tce,6057.0,189.0,-210.0,4.45,0.056,-0.224,1.0,0.33,-0.11,297.01913,44.327518,15.06
8581240,K03111.02,,CANDIDATE,CANDIDATE,0.986,0,0,0,0,4.32848303,4.092e-05,-4.092e-05,132.5128,0.00747,-0.00747,0.367,0.084,-0.367,2.955,0.255,-0.255,35.5,3.6,-3.6,0.66,0.1,-0.09,1199.0,488.23,200.04,-148.35,11.4,2.0,q1_q17_dr25_tce,5874.0,105.0,-117.0,4.338,0.126,-0.115,1.096,0.16,-0.144,298.57687,44.621609,12.863
8265218,K00522.01,,CANDIDATE,CANDIDATE,1.0,0,0,0,0,12.82993461,1.599e-05,-1.599e-05,169.944919,0.000997,-0.000997,0.594,0.003,-0.488,2.942,0.047,-0.047,1417.4,21.2,-21.2,3.31,0.82,-0.28,734.0,68.41,50.48,-16.83,79.6,1.0,q1_q17_dr25_tce,5862.0,158.0,-158.0,4.555,0.04,-0.16,0.844,0.211,-0.07,301.14789,44.104542,14.406
9995771,K03470.01,,CANDIDATE,CANDIDATE,0.733,0,0,0,0,15.0617835,0.0002645,-0.0002645,140.1111,0.016,-0.016,0.114,0.335,-0.114,6.31,0.299,-0.299,196.6,17.9,-17.9,1.61,0.27,-0.21,794.0,94.08,41.79,-26.28,12.1,2.0,q1_q17_dr25_tce,5806.0,78.0,-78.0,4.321,0.115,-0.115,1.158,0.197,-0.148,283.79782,46.931,15.386
12020218,K01507.01,Kepler-870 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,21.3588236,0.0001094,-0.0001094,135.07022,0.00415,-0.00415,0.092,0.349,-0.092,5.823,0.114,-0.114,640.1,21.9,-21.9,2.52,0.8,-0.27,691.0,53.89,50.56,-16.95,33.2,1.0,q1_q17_dr25_tce,6170.0,170.0,-233.0,4.472,0.054,-0.216,0.992,0.316,-0.105,295.40253,50.47863,15.259
4773155,K06453.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,25.706001174,4.125e-06,-4.125e-06,156.644215,0.000132,-0.000132,0.43,0.004,-0.004,10.969,0.00758,-0.00758,464960.0,277.0,-277.0,67.11,17.98,-7.73,579.0,26.55,20.92,-8.15,2008.1,1.0,q1_q17_dr25_tce,5642.0,152.0,-169.0,4.498,0.06,-0.18,0.903,0.242,-0.104,297.98264,39.894081,13.592
11442793,K00351.04,Kepler-90 e,CONFIRMED,CANDIDATE,0.971,0,0,0,0,91.9401253,0.0005466,-0.0005466,134.3,0.00473,-0.00473,0.025,0.403,-0.025,9.195,0.138,-0.138,482.9,14.2,-14.2,2.62,0.43,-0.35,450.0,9.71,4.39,-3.03,34.4,4.0,q1_q17_dr25_tce,5970.0,107.0,-131.0,4.317,0.11,-0.121,1.2,0.195,-0.16,284.4335,49.305161,13.804
6681618,K08265.01,,FALSE POSITIVE,FALSE POSITIVE,0.128,1,0,0,0,364.42189,0.01675,-0.01675,303.9267,0.0258,-0.0258,1.276,70.08,-1.775,38.14,1.9,-1.9,2498.0,112.0,-112.0,36.37,10.96,-3.67,264.0,1.14,1.05,-0.35,28.5,1.0,q1_q17_dr25_tce,6047.0,190.0,-232.0,4.47,0.052,-0.208,1.002,0.302,-0.101,288.77316,42.137081,15.975
9757613,K00250.01,Kepler-26 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,12.282998287,8.001e-06,-8.001e-06,170.39809,0.00051,-0.00051,0.047,0.233,-0.047,2.7096,0.0198,-0.0198,2794.7,22.4,-22.4,2.83,0.16,-0.22,431.0,8.14,1.68,-1.78,137.2,1.0,q1_q17_dr25_tce,3879.0,77.0,-85.0,4.708,0.045,-0.021,0.537,0.03,-0.041,284.94098,46.56654,15.473
11015323,K00479.01,Kepler-569 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,34.18884323,5.7e-05,-5.7e-05,193.38946,0.00129,-0.00129,0.065,0.305,-0.065,5.3278,0.0482,-0.0482,1063.2,14.5,-14.5,2.97,0.35,-0.26,526.0,18.05,6.39,-4.14,83.9,1.0,q1_q17_dr25_tce,5515.0,109.0,-109.0,4.453,0.076,-0.093,0.925,0.11,-0.08,283.50726,48.552601,14.106
